ID,Ticker,Year,Revenue_Income Statement,Cost of Goods Sold_Income Statement,Gross Profit_Income Statement,"Sales, General, & Administrative_Income Statement",Total Operating Expenses_Income Statement,Operating Profit_Income Statement,Net Interest Income_Income Statement,Other Non-Operating Income_Income Statement,Pre-Tax Income_Income Statement,Income Tax_Income Statement,Net Income_Income Statement,Shares (Basic)_Income Statement,Shares (Diluted)_Income Statement,Cash & Equivalents_Balance Sheet,Accounts Receivable_Balance Sheet,Inventories_Balance Sheet,Other Current Assets_Balance Sheet,Total Current Assets_Balance Sheet,"Property, Plant, & Equipment (Net)_Balance Sheet",Goodwill_Balance Sheet,Other Intangible Assets_Balance Sheet,Other Assets_Balance Sheet,Total Assets_Balance Sheet,Accounts Payable_Balance Sheet,Accrued Liabilities_Balance Sheet,Short-Term Debt_Balance Sheet,Deferred Revenue_Balance Sheet,Total Current Liabilities_Balance Sheet,Long-Term Debt_Balance Sheet,Other Liabilities_Balance Sheet,Total Liabilities_Balance Sheet,Retained Earnings_Balance Sheet,Paid-in Capital_Balance Sheet,Common Stock_Balance Sheet,AOCI_Balance Sheet,Shareholders' Equity_Balance Sheet,Liabilities & Equity_2_Balance Sheet,Net Income_Cash Flow,Depreciation & Amortization_Cash Flow,Change in Working Capital_Cash Flow,Change in Deferred Tax_Cash Flow,Stock-Based Compensation_Cash Flow,Other_Cash Flow,Cash From Operations_Cash Flow,"Property, Plant, & Equipment_Cash Flow",Acquisitions_Cash Flow,Investments_Cash Flow,Other_2_Cash Flow,Cash From Investing_Cash Flow,Net Issuance of Common Stock_Cash Flow,Net Issuance of Debt_Cash Flow,Other_3_Cash Flow,Cash From Financing_Cash Flow,Free Cash Flow_Cash Flow,Return on Assets_Key Ratios,Return on Equity_Key Ratios,Return on Invested Capital_Key Ratios,Return on Capital Employed_Key Ratios,Return on Tangible Capital Employed_Key Ratios,Gross Margin_Key Ratios,EBITDA Margin_Key Ratios,Operating Margin_Key Ratios,Pretax Margin_Key Ratios,Net Margin_Key Ratios,Free Cash Margin_Key Ratios,Assets to Equity_Key Ratios,Equity to Assets_Key Ratios,Debt to Equity_Key Ratios,Debt to Assets_Key Ratios,Revenue_Key Ratios,Gross Profit_Key Ratios,EBITDA_Key Ratios,Operating Income_Key Ratios,Pretax Income_Key Ratios,Net Income_Key Ratios,Diluted EPS_Key Ratios,Diluted Shares_Key Ratios,PP&E_Key Ratios,Total Assets_Key Ratios,Equity_Key Ratios,Cash from Operations_Key Ratios,Capital Expenditures_Key Ratios,Free Cash Flow_Key Ratios,Free Cash Flow_2_Key Ratios,Book Value_Key Ratios,Tangible Book Value_Key Ratios,Revenue_2_Key Ratios,EBITDA_2_Key Ratios,Operating Income_2_Key Ratios,Diluted EPS_2_Key Ratios,Free Cash Flow_3_Key Ratios,Book Value_2_Key Ratios,Tangible Book Value_2_Key Ratios,Market Capitalization_Key Ratios,Price-to-Earnings_Key Ratios,Price-to-Book_Key Ratios,Price-to-Sales_Key Ratios,Other Current Liabilities_Balance Sheet
SIRI_2019,SIRI,2019,7.794,3.854,3.94,1.461,2.209,1.731,-390.0,-144.0,1.197,-283.0,914.0,450.0,462.0,106.0,670.0,11.0,216.0,1.003,2.092,3.843,3.467,423.0,11.149,1.151,160.0,2.0,1.93,3.293,7.842,94.0,11.885,-1.143,395.0,4.0,8.0,-736.0,11.149,914.0,524.0,-74.0,259.0,250.0,144.0,2.017,-363.0,294.0,66.0,-25.0,-3.0,-2.159,565.0,-139.0,-1.959,1.654,9.5,-71.6,14.5,26.2,306.4,50.6,28.9,22.2,15.4,11.7,21.2,-15.1,-0.1,-11.3,0.7,35.1,31.7,11.0,0.1,-15.8,-22.3,-23.1,1.2,38.3,36.4,59.5,7.3,-2.3,8.5,1.654,-736.0,-8.046,16.88,4.89,3.75,2.0,3.58,-1.59,-17.43,31.546,34.51,-42.86,4.05,4.0
SIRI_2020,SIRI,2020,8.04,3.941,4.099,1.468,2.237,1.862,-394.0,-1.038,430.0,-299.0,131.0,433.0,443.0,71.0,672.0,19.0,224.0,967.0,2.056,3.122,3.34,516.0,10.333,1.223,174.0,1.0,1.721,3.167,8.499,149.0,12.618,-2.285,129.32319999999999,4.0,15.0,-2.285,10.333,131.0,562.0,-268.0,238.0,223.0,1.132,2.018,-350.0,-394.0,-8.0,11.0,-741.0,-1.555,592.0,-114.0,-1.314,1.668,1.2,-8.7,1.8,24.8,297.2,51.0,30.1,23.2,5.3,1.6,20.7,-4.5,-0.2,-3.9,0.9,3.2,4.0,7.5,7.6,-64.1,-85.7,-85.0,-4.1,-1.7,-7.3,-210.5,0.0,3.6,0.8,1.668,-2.285,-8.747,18.15,5.47,4.2,0.3,3.77,-5.16,-19.75,26.582,202.92,-11.63,3.31,48.25
SIRI_2021,SIRI,2021,8.696,4.293,4.403,1.57,2.368,2.035,-415.0,-94.0,1.526,-212.0,1.314,406.0,414.0,191.0,722.0,19.0,267.0,1.18,1.808,3.151,3.186,615.0,10.274,1.299,173.0,31.00877777777778,1.454,2.98,8.832,150.0,12.899,-2.636,129.32319999999999,4.0,15.0,-2.625,10.274,1.314,583.0,-411.0,131.0,202.0,179.0,1.998,-388.0,-35.0,-4.0,227.0,-200.0,-1.523,224.0,-115.0,-1.682,1.61,12.8,-53.5,19.9,28.1,244.9,50.6,30.1,23.4,17.5,15.1,18.5,-3.9,-0.3,-3.5,0.9,8.2,7.4,8.0,9.3,254.9,903.1,966.7,-6.5,-12.1,-0.6,-14.9,-1.0,-10.9,-3.5,1.61,-2.625,-8.962,20.99,6.32,4.91,3.2,3.89,-6.34,-21.63,25.19,19.17,-9.6,2.9,5.0
SIRI_2022,SIRI,2022,9.003,4.482,4.521,1.638,2.534,1.987,-503.0,2.0,1.486,-368.0,908.0,347.0,368.0,57.0,655.0,19.0,326.0,1.038,1.814,3.249,3.05,459.0,10.022,1.248,165.0,196.0,1.322,2.981,9.256,170.0,13.373,-3.351,129.32319999999999,4.0,-4.0,-3.351,10.022,1.118,660.0,-340.0,240.0,209.0,94.0,1.981,-426.0,-136.0,66.0,3.0,-493.0,-647.0,261.0,-1.089,-1.724,1.555,8.9,-30.4,14.0,27.3,209.7,50.2,29.4,22.1,16.5,10.1,17.3,-3.0,-0.3,-2.9,1.0,3.5,2.7,1.1,-2.4,-2.6,-30.9,-25.2,-11.2,0.3,-2.5,-27.7,-0.9,-9.8,-3.4,1.555,-3.351,-9.65,24.46,7.19,5.4,2.39,4.23,-9.11,-26.22,22.723,25.03,-6.78,2.52,48.25
SIRI_2023,SIRI,2023,8.953,4.568,4.385,1.539,2.485,1.9,-534.0,-156.0,1.21,-222.0,786.0,339.0,362.0,306.0,709.0,19.0,346.0,1.361,1.791,15.209,10.31,670.0,30.056,1.303,174.0,1.079,1.195,3.951,10.073,428.0,16.954,15.353,129.32319999999999,4.375,7.0,13.102,30.056,988.0,669.0,-169.0,-40.0,203.0,178.0,1.829,-650.0,-168.33333333333334,12.0,-46.0,-696.0,-274.0,-1.101,252.0,-1.188,1.179,3.9,23.4,4.7,11.0,146.0,49.0,28.7,21.2,13.5,8.8,13.2,2.3,0.4,1.1,0.4,-0.6,-3.0,-2.9,-4.4,-18.6,-13.4,-7.8,-1.6,-1.3,199.9,491.0,-7.7,-52.6,-24.2,1.179,13.102,-12.417,24.73,7.1,5.25,2.21,3.26,36.19,-34.3,21.021,26.74,1.6,2.35,200.0
SIRI_2024,SIRI,2024,8.699,4.498,4.201,1.391,2.265,1.936,-496.0,-3.305,-1.865,-210.0,-1.665,338.0,338.0,162.0,676.0,19.0,311.0,1.149,2.109,12.39,10.189,641.0,27.521,1.284,172.0,61.0,1.05,2.731,10.314,1.1,16.447,11.121,129.32319999999999,4.375,-46.0,11.074,27.521,-2.075,622.0,-259.0,-161.0,200.0,3.414,1.741,-728.0,-168.33333333333334,12.0,-242.0,-970.0,-6.0,-709.0,-58.0,-916.0,1.013,-5.8,-15.7,-6.8,7.4,98.3,48.3,29.4,22.3,-21.4,-19.1,11.6,2.5,0.4,0.9,0.4,-2.8,-4.2,-0.4,1.9,-254.1,-311.8,-323.2,-6.6,17.8,-8.4,-15.5,-4.8,-12.0,-14.1,1.013,11.074,-11.505,25.74,7.57,5.73,-4.93,3.0,32.76,-34.04,7.733,-4.64,0.7,0.89,164.0
SO_2015,SO,2015,157.107,120.081,37.026,92.75965296803652,26.005,11.021,-790.0,-8.31,10.231,-4.363,5.813,953.0,967.0,10.923,13.324,95.50167309872667,5.404,31.639,4.861,44.453,8.391,3.118,111.254,26.324,99.57821719128329,6.634,2.142,42.898,25.331,3.977,75.793,37.125,29.0,10.0,-3.334,35.461,111.254,5.868,1.693,2.081,-73.0,406.0,-235.0,9.74,-1.556,-16.164,-531.0,-144.0,-18.395,-798.0,14.607,216.0,12.239,8.184,5.9,17.5,9.6,16.7,51.6,23.6,8.1,7.0,6.5,3.7,5.2,3.1,0.3,0.9,0.3,20.4,12.1,8.2,7.3,6.0,3.5,5.4,-1.9,10.0,28.8,4.8,21.0,-7.5,23.9,8.184,35.461,-17.383,162.47,13.15,11.4,6.01,8.46,36.67,-17.98,112.111,19.29,3.16,0.71,7.798
SO_2016,SO,2016,184.84,141.454,43.386,92.75965296803652,30.456,12.93,-1.067,-8.31,11.863,-4.79,7.017,952.0,968.0,10.43,15.651,95.50167309872667,4.953,33.879,5.901,47.584,8.541,3.037,122.81,29.752,99.57821719128329,7.193,1.968,49.252,25.777,4.831,82.621,40.945,12.567666666666668,10.0,-2.681,40.189,122.81,7.073,2.055,183.0,81.0,485.0,-82.0,9.795,-1.705,-1.76,-5.927,37.0,-9.355,-851.0,990.0,1.111,-1.011,8.09,6.0,19.5,9.7,16.6,55.3,23.5,8.1,7.0,6.4,3.8,4.4,3.1,0.3,0.9,0.3,17.7,17.2,17.9,17.3,16.0,20.7,20.6,0.1,21.4,10.4,13.3,0.6,-9.6,-1.1,8.09,40.189,-15.936,190.95,15.48,13.36,7.25,8.36,41.52,-16.46,152.358,21.71,3.79,0.82,10.339
SO_2017,SO,2017,201.159,154.148,47.011,92.75965296803652,31.802,15.209,-1.186,-8.31,14.023,-3.2,10.558,964.0,985.0,11.981,15.83,95.50167309872667,5.764,37.084,7.013,54.556,8.489,3.575,139.058,33.051,99.57821719128329,2.857,2.269,50.463,28.835,5.556,87.036,48.73,1.703,10.0,-2.667,52.022,139.058,10.823,2.245,679.0,-965.0,597.0,217.0,13.596,-2.023,-2.131,-4.319,-126.0,-8.599,-812.0,-2.615,2.759,-3.441,11.573,8.1,24.5,13.0,17.7,57.4,23.4,8.7,7.6,7.0,5.2,5.8,2.7,0.4,0.7,0.2,8.8,8.4,16.5,17.6,18.2,50.5,47.9,1.8,18.8,13.2,29.4,38.8,-18.7,43.1,11.573,52.022,-11.023,204.22,17.72,15.44,10.72,11.75,52.81,-11.19,213.626,20.23,4.11,1.06,12.286
SO_2018,SO,2018,226.247,172.401,53.846,92.75965296803652,36.502,17.344,-1.4,-8.31,15.944,-3.562,11.986,963.0,983.0,10.866,11.388,95.50167309872667,12.98,38.692,8.458,58.91,9.325,4.326,152.221,36.596,99.57821719128329,1.973,2.396,53.209,34.581,5.73,95.994,55.846,12.567666666666668,10.0,-4.16,56.227,152.221,12.382,2.428,294.0,42.0,638.0,-71.0,15.713,-2.063,-5.997,-4.099,-226.0,-12.385,-3.662,4.134,-1.517,-4.365,13.65,8.2,24.1,12.9,18.0,56.7,23.8,8.7,7.7,7.0,5.3,6.0,2.7,0.4,0.7,0.2,12.5,14.5,13.3,14.0,13.7,13.5,13.7,-0.2,20.6,9.5,8.1,15.6,-2.0,17.9,13.65,56.227,-12.008,230.16,20.11,17.64,12.19,13.89,57.2,-12.22,239.155,19.95,4.25,1.06,12.244
